name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
T.Brady,00-0019596,no,NE,QB,0,0,0,0,0,3,2,7,2,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,385,8,32,2,2,4576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,0,0,0,0,28
D.Lewis,00-0028087,no,NE,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,390,103,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,32,32,3,0,0,214,180,260,32,6,0,0,896
R.Burkhead,00-0030288,no,NE,RB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,34,30,3,0,0,254,64,106,20,5,0,0,264
C.Hogan,00-0028237,no,NE,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,67,34,5,0,0,439,3,13,0,0,0,0,17
J.White,00-0031062,no,NE,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,11,56,3,0,0,429,43,75,0,0,0,0,171
M.Gillislee,00-0030433,no,NE,RB,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,15,104,103,5,5,0,0,383
B.Cooks,00-0031236,no,NE,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,131,65,7,1,1,1082,9,51,0,0,0,0,40
R.Gronkowski,00-0027656,no,NE,TE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,125,69,8,1,1,1083,0,0,0,0,0,0,0
D.Amendola,00-0026035,no,NE,WR,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,161,0,27,0,260,6,61,2,0,0,659,0,0,0,0,0,0,0
D.Andrews,00-0031852,yes,NE,C,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.McCourty,00-0027647,no,NE,FS,17,0,1,1,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Gostkowski,00-0024333,no,NE,K,0,0,0,0,0,0,0,0,0,0,40,37,568,111,47,0,45,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Allen,00-0029984,no,NE,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,24,832,58,2518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Harris,00-0025434,no,NE,ILB,6,0,0,1.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.Guy,00-0028171,no,NE,DE,24,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Flowers,00-0031566,no,NE,DE,18,2,0,6.5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Hightower,00-0029669,no,NE,OLB,2,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Branch,00-0025420,no,NE,DT,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Marsh,00-0031175,no,NE,DE,3,3,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Brown,00-0032261,no,NE,DT,20,0,0,2.5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Van Noy,00-0031360,no,NE,OLB,15,0,0,5.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Butler,00-0031218,no,NE,CB,5,3,2,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Richards,00-0031559,no,NE,SS,2,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Gilmore,00-0029542,no,NE,CB,3,0,2,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Butler,00-0033381,no,NE,N/A,8,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.Chung,00-0027010,no,NE,SS,11,0,1,0,68,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Wise,00-0033947,no,NE,N/A,10,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Rowe,00-0031555,no,NE,CB,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Smith,00-0023436,no,KC,QB,0,0,0,0,0,1,3,2,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,341,5,26,1,0,4042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,222,1,1,1,0,355
K.Hunt,00-0033923,no,KC,N/A,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,81,53,3,0,0,455,272,427,168,8,0,0,1327
